,Word,Definition
0,bit,1. the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press    2. piece of metal held in horse's mouth by reins and used to control the horse while riding    3. the part of a key that enters a lock and lifts the tumblers
1,electromechanical,1. of or relating to or involving an electrically operated mechanical device
2,video,1. a recording of both the visual and audible components (especially one containing a recording of a movie or television program)    2. broadcasting visual images of stationary or moving objects    3. the visible part of a television transmission
3,bus,1. a vehicle carrying many passengers; used for public transport    2. a car that is old and unreliable    3. an electrical conductor that makes a common connection between several circuits
4,server,1. utensil used in serving food or drink    2. (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network    3. (court games) the player who serves to start a point
5,microprocessor,1. integrated circuit semiconductor chip that performs the bulk of the processing and controls the parts of a system
6,computer memory,1. an electronic memory device
7,lever,1. a rigid bar pivoted about a fulcrum    2. a flat metal tumbler in a lever lock    3. a simple machine that gives a mechanical advantage when given a fulcrum
8,pornography,1. creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
9,poison,1. anything that harms or destroys    2. any substance that causes injury or illness or death of a living organism    3. administer poison to
10,actuary,1. someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)
11,darpa,1. the central research and development organization for the United States Department of Defense; responsible for developing new surveillance technologies since 9/11
12,memory,1. an electronic memory device    2. the power of retaining and recalling past experience    3. the cognitive processes whereby past experience is remembered
13,device,1. any clever maneuver    2. an instrumentality invented for a particular purpose    3. an emblematic design (especially in heraldry)
14,website,1. a computer connected to the internet that maintains a series of web pages on the World Wide Web
15,babylonia,1. an ancient kingdom in southern Mesopotamia; Babylonia conquered Israel in the 6th century BC and exiled the Jews to Babylon (where Daniel became a counselor to the king)
16,electric typewriter,1. a typewriter powered by an electric motor
17,exploit,1. a notable achievement    2. use or manipulate to one's advantage    3. draw from; make good use of
18,visual display unit,1. (British) British term for video display
19,web,1. the flattened weblike part of a feather consisting of a series of barbs on either side of the shaft    2. membrane connecting the toes of some aquatic birds and mammals    3. an intricate trap that entangles or ensnares its victim
20,keystroke,1. the stroke of a key; one depression of a key on a keyboard
21,boolean algebra,1. a system of symbolic logic devised by George Boole; used in computers
22,artificial intelligence,1. the branch of computer science that deal with writing computer programs that can solve problems creatively
23,automatic teller machine,1. an unattended machine (outside some banks) that dispenses money when a personal coded card is used
24,computer programmer,1. a person who designs and writes and tests computer programs
25,internet,1. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
26,microcode,1. (computer science) coded instructions that are stored permanently in read-only memory
27,abacus,1. a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves    2. a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
28,use,1. exerting shrewd or devious influence especially for one's own advantage    2. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition    3. the act of using
